county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
48167,Galveston,Texas,4/23/20,8180000,19131266,-57.24,7314285.71,-61.77,4/9/20,5825714.29,25.55
48039,Brazoria,Texas,4/22/20,8060000,19953830,-59.61,8012857.14,-59.84,4/8/20,6410000,25.01
48039,Brazoria,Texas,4/23/20,8770000,19953830,-56.05,8005714.29,-59.88,4/8/20,6410000,24.89
48167,Galveston,Texas,4/22/20,7240000,19131266,-62.16,7260000,-62.05,4/9/20,5825714.29,24.62
48339,Montgomery,Texas,4/22/20,16400000,41917785,-60.88,15355714.29,-63.37,4/8/20,12334285.71,24.5
48039,Brazoria,Texas,4/21/20,8280000,19953830,-58.5,7968571.43,-60.06,4/8/20,6410000,24.31
48167,Galveston,Texas,4/21/20,7700000,19131266,-59.75,7241428.57,-62.15,4/9/20,5825714.29,24.3
48339,Montgomery,Texas,4/21/20,16800000,41917785,-59.92,15327142.86,-63.44,4/8/20,12334285.71,24.26
48157,Fort Bend,Texas,3/29/20,6750000,34875882,-80.65,8918571.43,-74.43,4/10/20,7191428.57,24.02
48157,Fort Bend,Texas,3/26/20,8700000,34875882,-75.05,8895714.29,-74.49,4/10/20,7191428.57,23.7
48201,Harris,Texas,4/24/20,101000000,208292804,-51.51,75814285.71,-63.6,4/10/20,61714285.71,22.85
48039,Brazoria,Texas,4/20/20,7500000,19953830,-62.41,7861428.57,-60.6,4/8/20,6410000,22.64
48339,Montgomery,Texas,4/20/20,15000000,41917785,-64.22,15127142.86,-63.91,4/8/20,12334285.71,22.64
48201,Harris,Texas,3/26/20,73700000,208292804,-64.62,75585714.29,-63.71,4/10/20,61714285.71,22.48
48157,Fort Bend,Texas,4/23/20,9790000,34875882,-71.93,8801428.57,-74.76,4/10/20,7191428.57,22.39
48039,Brazoria,Texas,4/19/20,5840000,19953830,-70.73,7841428.57,-60.7,4/8/20,6410000,22.33
48157,Fort Bend,Texas,3/28/20,7350000,34875882,-78.93,8794285.71,-74.78,4/10/20,7191428.57,22.29
48157,Fort Bend,Texas,4/22/20,9120000,34875882,-73.85,8785714.29,-74.81,4/10/20,7191428.57,22.17
48157,Fort Bend,Texas,4/21/20,9320000,34875882,-73.28,8785714.29,-74.81,4/10/20,7191428.57,22.17
48339,Montgomery,Texas,4/19/20,9890000,41917785,-76.41,14970000,-64.29,4/8/20,12334285.71,21.37
48167,Galveston,Texas,4/20/20,6850000,19131266,-64.19,7062857.14,-63.08,4/9/20,5825714.29,21.24
48339,Montgomery,Texas,3/29/20,9890000,41917785,-76.41,14898571.43,-64.46,4/8/20,12334285.71,20.79
48157,Fort Bend,Texas,4/20/20,8510000,34875882,-75.6,8678571.43,-75.12,4/10/20,7191428.57,20.68
48167,Galveston,Texas,4/19/20,5380000,19131266,-71.88,7020000,-63.31,4/9/20,5825714.29,20.5
48039,Brazoria,Texas,3/26/20,8100000,19953830,-59.41,7722857.14,-61.3,4/8/20,6410000,20.48
48039,Brazoria,Texas,4/18/20,7590000,19953830,-61.96,7712857.14,-61.35,4/8/20,6410000,20.33
48157,Fort Bend,Texas,3/27/20,9690000,34875882,-72.22,8651428.57,-75.19,4/10/20,7191428.57,20.3
48339,Montgomery,Texas,3/28/20,11800000,41917785,-71.85,14797142.86,-64.7,4/8/20,12334285.71,19.97
48201,Harris,Texas,4/23/20,83500000,208292804,-59.91,73914285.71,-64.51,4/10/20,61714285.71,19.77
48201,Harris,Texas,3/28/20,59500000,208292804,-71.43,73871428.57,-64.53,4/10/20,61714285.71,19.7
48201,Harris,Texas,3/29/20,51200000,208292804,-75.42,73742857.14,-64.6,4/10/20,61714285.71,19.49
48339,Montgomery,Texas,4/18/20,13700000,41917785,-67.32,14738571.43,-64.84,4/8/20,12334285.71,19.49
48157,Fort Bend,Texas,4/19/20,5930000,34875882,-83,8568571.43,-75.43,4/10/20,7191428.57,19.15
48201,Harris,Texas,4/22/20,77200000,208292804,-62.94,73414285.71,-64.75,4/10/20,61714285.71,18.96
48167,Galveston,Texas,3/26/20,6960000,19131266,-63.62,6928571.43,-63.78,4/9/20,5825714.29,18.93
48157,Fort Bend,Texas,3/30/20,7580000,34875882,-78.27,8544285.71,-75.5,4/10/20,7191428.57,18.81
48201,Harris,Texas,4/21/20,79700000,208292804,-61.74,73300000,-64.81,4/10/20,61714285.71,18.77
48201,Harris,Texas,3/27/20,80500000,208292804,-61.35,73142857.14,-64.88,4/10/20,61714285.71,18.52
48039,Brazoria,Texas,3/28/20,6200000,19953830,-68.93,7588571.43,-61.97,4/8/20,6410000,18.39
48039,Brazoria,Texas,3/29/20,5190000,19953830,-73.99,7578571.43,-62.02,4/8/20,6410000,18.23
48339,Montgomery,Texas,3/26/20,15900000,41917785,-62.07,14538571.43,-65.32,4/8/20,12334285.71,17.87
48167,Galveston,Texas,4/18/20,6970000,19131266,-63.57,6857142.86,-64.16,4/9/20,5825714.29,17.7
48167,Galveston,Texas,3/29/20,5180000,19131266,-72.92,6854285.71,-64.17,4/9/20,5825714.29,17.66
48157,Fort Bend,Texas,4/18/20,8640000,34875882,-75.23,8440000,-75.8,4/10/20,7191428.57,17.36
48339,Montgomery,Texas,3/30/20,13100000,41917785,-68.75,14470000,-65.48,4/8/20,12334285.71,17.32
